Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,10u,
"C2, C3",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,47u,
C8,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,100n,
D1,LED_2010_5025Metric,1,LED,
J1,PinHeader_1x04_P2.54mm_Horizontal,1,internal,
J2,PinHeader_1x03_P2.54mm_Vertical,1,PROG,
"R1, R2, R3, R4",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,4,270R,
U1,SOT-223-3_TabPin2,1,LM1117-3.3,
U2,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,
U5,SO-8_3.9x4.9mm_P1.27mm,1,MAX485E,
